date,qsim,year,month,qobs
1991-05-22,60.30843937972474,1991,5,
1991-05-23,59.14892570360104,1991,5,
1991-05-24,58.05257882154629,1991,5,
1991-05-25,57.01244444507571,1991,5,
1991-05-26,56.02358642300226,1991,5,
1991-05-27,55.08169269909942,1991,5,
1991-05-28,54.18288004638736,1991,5,
1991-05-29,53.32363698794122,1991,5,
1991-05-30,52.50078438829632,1991,5,
1991-05-31,51.711441433432334,1991,5,
1991-06-01,50.95299544943085,1991,6,
1991-06-02,50.22307502338566,1991,6,
1991-06-03,49.51952602758387,1991,6,
1991-06-04,48.84039020530099,1991,6,
1991-06-05,48.18392771842333,1991,6,
1991-06-06,53.721645955292765,1991,6,
1991-06-07,61.19394266584346,1991,6,
1991-06-08,59.95948433526022,1991,6,
1991-06-09,57.57417287745155,1991,6,
1991-06-10,60.86247414289033,1991,6,
1991-06-11,62.12085088193879,1991,6,
1991-06-12,56.29216382475615,1991,6,
1991-06-13,52.34845743260748,1991,6,
1991-06-14,50.58743340974232,1991,6,
1991-06-15,49.421338654688896,1991,6,
1991-06-16,48.57063144568462,1991,6,
1991-06-17,49.01601180573652,1991,6,
1991-06-18,51.76203875868159,1991,6,
1991-06-19,52.906646464026686,1991,6,
1991-06-20,59.65378111660647,1991,6,
1991-06-21,73.06827075033566,1991,6,
1991-06-22,68.73373541561376,1991,6,
1991-06-23,64.45174483929533,1991,6,
1991-06-24,62.43543426128637,1991,6,
1991-06-25,57.67190165858462,1991,6,
1991-06-26,54.74223879183734,1991,6,
1991-06-27,55.74484559848091,1991,6,
1991-06-28,57.97015005152621,1991,6,
1991-06-29,57.012664359560176,1991,6,
1991-06-30,55.73075964773392,1991,6,
1991-07-01,53.34276077338427,1991,7,
1991-07-02,51.26748570579972,1991,7,
1991-07-03,49.7463112139468,1991,7,
1991-07-04,48.49534092437887,1991,7,
1991-07-05,47.36446766533973,1991,7,
1991-07-06,46.31273956513297,1991,7,
1991-07-07,46.39698020994883,1991,7,
1991-07-08,49.99105566328589,1991,7,
1991-07-09,49.19048850854858,1991,7,
1991-07-10,46.03818964391419,1991,7,
1991-07-11,44.03844012720487,1991,7,
1991-07-12,42.88256198218804,1991,7,
1991-07-13,48.08142276059541,1991,7,
1991-07-14,59.54130760942724,1991,7,
1991-07-15,60.218804677254944,1991,7,
1991-07-16,54.32575226356459,1991,7,
1991-07-17,48.98632873962955,1991,7,
1991-07-18,45.85865620520622,1991,7,
1991-07-19,44.230137339402994,1991,7,
1991-07-20,43.12068938248108,1991,7,
1991-07-21,42.16219191441095,1991,7,
