date,SMI,RCI,QDI,MDI
2006-01-19,58.203125,5.078125,7.421875,23.567709
2006-01-20,59.765625,33.203125,89.453125,60.807293
2006-01-21,66.015625,57.421875,89.453125,70.96354
2006-01-22,68.359375,69.921875,58.203125,65.49479
2006-01-23,67.578125,64.453125,53.515625,61.848957
2006-01-24,66.796875,59.765625,52.734375,59.765625
2006-01-25,66.015625,58.984375,49.609375,58.203125
2006-01-26,65.234375,55.078125,48.046875,56.119793
2006-01-27,64.453125,49.609375,45.703125,53.255207
2006-01-28,63.671875,40.234375,41.796875,48.567707
2006-01-29,62.109375,35.546875,36.328125,44.661457
2006-01-30,61.328125,33.203125,29.296875,41.276043
2006-01-31,60.546875,30.078125,26.171875,38.932293
2006-02-01,59.765625,27.734375,23.046875,36.848957
2006-02-02,59.765625,25.390625,20.703125,35.286457
2006-02-03,59.765625,21.484375,20.703125,33.984375
2006-02-04,58.984375,19.140625,17.578125,31.901041
2006-02-05,58.203125,16.015625,16.796875,30.338541
2006-02-06,57.421875,12.890625,16.015625,28.776041
2006-02-07,59.765625,29.296875,93.359375,60.807293
2006-02-08,59.765625,44.140625,81.640625,61.848957
2006-02-09,59.765625,48.046875,79.296875,62.369793
2006-02-10,64.0625,45.703125,39.453125,49.739582
2006-02-11,65.625,43.359375,37.109375,48.697918
2006-02-12,64.453125,41.796875,33.203125,46.484375
2006-02-13,61.328125,40.234375,30.078125,43.880207
2006-02-14,59.765625,37.109375,28.515625,41.796875
2006-02-15,63.671875,39.453125,82.421875,61.848957
2006-02-16,72.265625,63.671875,97.265625,77.734375
2006-02-17,72.265625,81.640625,91.796875,81.90104
2006-02-18,77.734375,87.890625,93.359375,86.328125
2006-02-19,78.515625,92.578125,89.453125,86.84896
2006-02-20,80.859375,96.484375,80.859375,86.06771
2006-02-21,79.296875,93.359375,68.359375,80.33854
2006-02-22,77.734375,83.984375,66.015625,75.91146
2006-02-23,76.171875,79.296875,60.546875,72.00521
2006-02-24,73.828125,73.828125,60.546875,69.40104
2006-02-25,67.578125,68.359375,53.515625,63.151043
2006-02-26,67.578125,62.890625,48.828125,59.765625
2006-02-27,68.359375,56.640625,47.265625,57.421875
2006-02-28,68.359375,50.390625,41.796875,53.515625
2006-03-01,69.921875,47.265625,36.328125,51.171875
2006-03-02,69.921875,44.921875,31.640625,48.828125
2006-03-03,68.359375,40.234375,26.953125,45.182293
2006-03-04,67.578125,37.109375,23.828125,42.838543
2006-03-05,66.015625,34.765625,20.703125,40.494793
2006-03-06,64.0625,30.859375,17.578125,37.5
2006-03-07,63.28125,26.953125,15.234375,35.15625
2006-03-08,61.328125,23.828125,14.453125,33.203125
2006-03-09,66.796875,39.453125,97.265625,67.83854
2006-03-10,77.734375,76.171875,84.765625,79.55729
2006-03-11,79.296875,80.078125,58.203125,72.52604
2006-03-12,76.953125,69.140625,48.828125,64.97396
2006-03-13,73.046875,62.890625,44.140625,60.026043
2006-03-14,70.703125,58.203125,38.671875,55.859375
2006-03-15,68.359375,50.390625,30.078125,49.609375
2006-03-16,67.578125,41.015625,26.953125,45.182293
2006-03-17,68.359375,37.109375,23.046875,42.838543
2006-03-18,68.359375,34.765625,21.484375,41.536457
2006-03-19,69.921875,32.421875,20.703125,41.015625
2006-03-20,69.140625,33.984375,41.015625,48.046875
